"동별(1)",동별(2),2019 1/4,2019 1/4,2019 1/4,2019 1/4,2019 1/4,2019 1/4,2019 2/4,2019 2/4,2019 2/4,2019 2/4,2019 2/4,2019 2/4,2019 3/4,2019 3/4,2019 3/4,2019 3/4,2019 3/4,2019 3/4,2019 4/4,2019 4/4,2019 4/4,2019 4/4,2019 4/4,2019 4/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2021 1/4,2021 1/4,2021 1/4,2021 1/4,2021 1/4,2021 1/4,2021 2/4,2021 2/4,2021 2/4,2021 2/4,2021 2/4,2021 2/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4
"동별(1)",동별(2),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
"합계",소계,4290922,10054979,9770216,284763,2.28,1436125,4304243,10041574,9757144,284430,2.27,1451564,4315921,10025927,9740398,285529,2.26,1468146,4327605,10010983,9729107,281876,2.25,1485272,4354006,10013781,9733655,280126,2.24,1518239,4384076,9985652,9720846,264806,2.22,1534957,4405833,9953009,9699232,253777,2.20,1552356,4417954,9911088,9668465,242623,2.19,1568331,4400403,9828094,9598484,229610,2.18,1567819,4405638,9795426,9565990,229436,2.17,1576971,4421143,9765869,9542256,223613,2.16,1592339,4426007,9736027,9509458,226569,2.15,1605416,4451444,9732617,9506778,225839,2.14,1628980,4464840,9725417,9494807,230610,2.13,1641813
"합계",종로구,73914,162913,152778,10135,2.07,26981,73828,162413,152026,10387,2.06,27155,73942,162860,151767,11093,2.05,27394,73947,161869,151290,10579,2.05,27519,74151,161984,151217,10767,2.04,28073,74497,160520,150383,10137,2.02,28203,74861,159842,149952,9890,2.00,28396,75003,158996,149384,9612,1.99,28507,74113,156567,147296,9271,1.99,27781,73525,155106,146029,9077,1.99,27605,73652,154318,145512,8806,1.98,27776,73494,153789,144683,9106,1.97,27818,73766,153684,144275,9409,1.96,28064,73728,153255,143624,9631,1.95,28170
"합계",중구,61800,135836,125942,9894,2.04,22421,62156,136276,126143,10133,2.03,22749,62593,136663,126409,10254,2.02,23025,62739,136488,126171,10317,2.01,23275,63045,136469,126175,10294,2.00,23794,63354,136030,126092,9938,1.99,24035,63594,135321,125800,9521,1.98,24265,63686,134635,125240,9395,1.97,24495,63746,133708,124552,9156,1.95,24767,62897,132259,123016,9243,1.96,23980,63267,131943,122858,9085,1.94,24225,63519,131787,122499,9288,1.93,24392,63767,131450,122173,9277,1.92,24742,63958,131673,122088,9585,1.91,24948
"합계",용산구,109413,245139,229168,15971,2.09,38049,109692,245069,229122,15947,2.09,38259,109911,244989,228830,16159,2.08,38531,110126,245185,228670,16515,2.08,38791,110895,246165,229579,16586,2.07,39439,111586,245362,229431,15931,2.06,39650,112451,244953,229786,15167,2.04,39995,113093,244645,230040,14605,2.03,40247,112881,243336,229013,14323,2.03,39575,111650,240665,226378,14287,2.03,38884,111177,238300,224145,14155,2.02,38906,111036,237285,222953,14332,2.01,39070,111207,236518,222169,14349,2.00,39461,111860,236632,222263,14369,1.99,39615
"합계",성동구,137247,314608,306404,8204,2.23,43076,136872,312991,304936,8055,2.23,43370,136466,311290,303158,8132,2.22,43662,135838,308979,300889,8090,2.22,43947,135643,307193,299042,8151,2.20,44728,135937,304851,297397,7454,2.19,45005,136096,302695,295591,7104,2.17,45372,135870,300505,293556,6949,2.16,45603,135883,298421,291906,6515,2.15,45968,134542,295767,289162,6605,2.15,45591,134620,294140,287820,6320,2.14,46053,134233,292672,285990,6682,2.13,46380,134533,291609,285073,6536,2.12,46896,134327,290664,283821,6843,2.11,47152
"합계",광진구,163460,370658,354873,15785,2.17,46288,163914,369470,353878,15592,2.16,46773,164173,368337,352692,15645,2.15,47347,164428,366972,351350,15622,2.14,47902,165287,365990,350417,15573,2.12,48989,166307,363925,349574,14351,2.10,49457,166857,361923,348064,13859,2.09,50047,167427,360109,346682,13427,2.07,50560,166638,356191,343392,12799,2.06,50370,166957,355306,342481,12825,2.05,50815,167438,353380,341112,12268,2.04,51278,167949,352627,339996,12631,2.02,51723,169483,353110,340707,12403,2.01,52604,169856,352796,339893,12903,2.00,53009
"합계",동대문구,162228,363262,346750,16512,2.14,57570,162851,363101,346501,16600,2.13,58078,163606,363779,346551,17228,2.12,58764,164191,363023,346194,16829,2.11,59350,165279,362793,346156,16637,2.09,60367,166451,360380,345593,14787,2.08,60817,167232,358679,344416,14263,2.06,61408,167598,357014,342837,14177,2.05,61796,165924,352570,338875,13695,2.04,60868,166372,352259,338040,14219,2.03,61262,167591,351626,337846,13780,2.02,61759,168219,352006,337400,14606,2.01,62211,169695,352592,337982,14610,1.99,62963,169931,352743,337330,15413,1.99,63427
"합계",중랑구,181182,407211,402203,5008,2.22,62789,181383,405639,400661,4978,2.21,63670,181448,403776,398812,4964,2.20,64449,181579,402024,397015,5009,2.19,65164,182220,400678,395619,5059,2.17,66764,183310,399415,394414,5001,2.15,67637,185109,400989,395997,4992,2.14,68658,185920,399562,394702,4860,2.12,69447,185506,396807,392041,4766,2.11,69841,185073,394679,389972,4707,2.11,70172,185497,393149,388554,4595,2.09,70908,185712,391885,387350,4535,2.09,71682,187693,393600,389043,4557,2.07,72851,188188,393147,388509,4638,2.06,73465
"합계",성북구,188670,450021,438245,11776,2.32,68612,190253,452292,440397,11895,2.31,69341,191465,454114,441590,12524,2.31,70204,192592,454744,442650,12094,2.30,70850,193801,454532,442494,12038,2.28,72172,195064,452290,441812,10478,2.26,72822,195379,449871,439719,10152,2.25,73370,195396,447056,437153,9903,2.24,73770,193965,444295,434826,9469,2.24,73158,194364,443206,433658,9548,2.23,73568,195099,441717,432628,9089,2.22,74235,195017,440142,430528,9614,2.21,74709,197296,442680,433150,9530,2.20,75719,198089,443823,433559,10264,2.19,76257
